Round,Table,Players,Decks,Winner
Round 9,36,"Nathan McDowell He/Him
milesofford He/Him","Izzet Prowess
Sultai Reanimator",Nathan McDowell won 2-0-0
Round 9,37,"Maciej Barwik He/Him
Stefano Spurio He/Him","Izzet Prowess
Four-Color Elementals",Stefano Spurio won 2-0-0
Round 9,38,"Rookiemookie He/Him
Alvaro Nicosia He/Him","Jeskai Control
Izzet Prowess",Alvaro Nicosia won 2-0-0
Round 9,39,"Juan Godoy He/Him
Marcio Carvalho","Four-Color Elementals
Selesnya Landfall",Juan Godoy won 2-0-0
Round 9,40,"Masaya_Hoshino He/Him
alexwalton64 He/Him","Izzet Prowess
Izzet Spellementals",alexwalton64 won 2-1-0
Round 9,41,"Patrickleydecker He/Him
tip He/Him","Izzet Spellementals
Selesnya Ouroboroid",tip won 2-1-0
Round 9,42,"Pirrakos He/Him
Dominic Ulke He/Him","Dimir Excruciator
Izzet Prowess",Pirrakos won 2-0-0
Round 9,43,"ItMakesSens He/Him
felipins He/Him","Selesnya Landfall
Dimir Excruciator",felipins won 2-0-0
Round 9,44,"Zaraffyro
Fabian Jonckeer He/Him","Izzet Prowess
Mono-Green Landfall",Zaraffyro won 2-1-0
Round 9,45,"ClaudioBisioo
M0J0 He/Him","Four-Color Control
Dimir Midrange",ClaudioBisioo won 3-0-0
Round 9,46,"Pier Iaquinta He/Him
DanS106 He/Him","Jeskai Control
Izzet Spellementals",DanS106 won 2-0-0
Round 9,47,"Robert Pennington
Lewis Foster He/Him","Simic Omniscience
Selesnya Landfall",Lewis Foster won 2-0-0
Round 9,48,"Filip Tetera He/Him
Dawid Florczyk","Bant Rhythm
Izzet Lessons",Filip Tetera won 2-1-0
Round 9,49,"TomR
Marco Oliveto He/Him","Izzet Prowess
Golgari Rhythm",Marco Oliveto won 2-0-0
Round 9,50,"Sandiagos He/Him
Marco Vay He/Him","Abzan Lifegain
Dimir Excruciator",Marco Vay won 2-1-0
Round 9,51,"Oscar Christensen He/Him
Michael Boardman He/Him","Selesnya Ouroboroid
Mono-Red Aggro",Oscar Christensen won 2-0-0
Round 9,52,"Kieran Malloy He/Him
DThomps He/Him","Izzet Prowess
Izzet Prowess",Kieran Malloy won 2-0-0
Round 9,53,"Josef Zivec He/Him
Liam Tiller-Collins He/Him","Bant Rhythm
Selesnya Ouroboroid",Josef Zivec won 2-0-0
Round 9,54,"Leonardo Canalejo He/Him
RoreosaRory He/Him","Boros Dragons
Four-Color Elementals",Leonardo Canalejo won 2-0-0
Round 9,55,"Coachjennsen23 He/Him
GliedTamas He/Him","Boros Dragons
Sultai Control",GliedTamas won 2-1-0
Round 9,56,"Nicolas Prail He/Him
Michael Baalham","Izzet Prowess
Selesnya Landfall",Michael Baalham won 2-0-0
Round 9,57,"Dylan Gregory-Martin He/They
Mikkel Vestergaard He/Him","Izzet Spellementals
Four-Color Control",Dylan Gregory-Martin won 2-1-0
Round 9,58,"Matthieu Tassa He/Him
Yat Ka Leung He/Him","Izzet Prowess
Izzet Prowess",Matthieu Tassa won 2-0-0
Round 9,59,"Verena Maccari She/Her
Daniel Larsen He/Him","Izzet Prowess
Selesnya Landfall",Verena Maccari won 2-0-0
Round 9,60,"Julian Lamprecht He/Him
iamkrazy1 He/Him","Selesnya Landfall
Izzet Prowess",Julian Lamprecht won 2-0-0
Round 9,61,"Viktor Hybinette He/Him
filpin He/Him","Golgari Demons
Selesnya Ouroboroid",Viktor Hybinette won 2-1-0
Round 9,62,"Hannes Brandstetter
James Ball He/Him","Selesnya Landfall
Izzet Prowess",James Ball won 2-1-0
Round 9,63,"Kristoffer Payumo He/Him
Alexander Stehno","Four-Color Elementals
Jeskai Control",Alexander Stehno won 2-0-0
Round 9,64,"David Dunitza He/Him
Mae French She/Her","Izzet Spellementals
Izzet Lessons",Mae French won 2-1-0
Round 9,65,"RobinVahland He/Him
JamesTaylor He/Him","Songcrafter Control
Selesnya Landfall",RobinVahland won 2-1-0
Round 9,66,"Narzyss
Marco Vassallo He/Him","Azorius Prison
Sultai Excruciator",Narzyss won 2-0-0
Round 9,67,"MangoMango She/Her
SimD22","Jeskai Control
Jeskai Control",MangoMango won 2-1-0
Round 9,68,"ZakP He/Him
Roberto Fabiani","Mono-Green Landfall
Grixis Deceit",ZakP won 2-1-0
Round 9,69,"Valentin Orru He/Him
Dominic White He/Him","Izzet Prowess
Dimir Deceit",Valentin Orru won 2-0-0
Round 9,70,"Unkillable13 He/Him
HarW7","Izzet Prowess
Four-Color Control",Unkillable13 won 2-0-0
Round 9,71,"Decio Sacco He/Him
Jorge Muniz","Selesnya Ouroboroid
Dimir Excruciator",Jorge Muniz won 2-1-0
Round 9,72,"Nabil
Vittorio Viti","Izzet Prowess
Four-Color Control",Nabil won 2-1-0
Round 9,73,"Lucas Hyttel He/Him
Kun150 He/Him","Mono-Green Landfall
Dimir Excruciator",Lucas Hyttel won 2-1-0
Round 9,74,"Gavin Thacker
Andrei Nikolov","Boros Dragons
Izzet Prowess",Andrei Nikolov won 2-0-0
Round 9,75,"Pär Jones He/Him
CraigLong He/Him","Golgari Midrange
Dimir Excruciator",Pär Jones won 2-0-0
Round 9,76,"Ben Jones
Francisco Sanchez","Izzet Lessons
Izzet Prowess",Ben Jones won 2-1-0
Round 9,77,"Ignacio Garcia He/Him
Jonas_Erbe","Azorius Momo
Simic Rhythm",Jonas_Erbe won 2-0-0
Round 9,78,"Verduyn He/Him
George Worsnop He/Him","Izzet Prowess
Izzet Prowess",George Worsnop won 2-1-0
Round 9,79,"JackTheJester He/Him
Dotraki","Four-Color Control
Izzet Prowess",Dotraki won 2-1-0
Round 9,80,"MikeRoss He/They
Thomas Duffy He/Him","Izzet Lessons
Selesnya Landfall",MikeRoss won 2-1-0
Round 9,81,"Jędrek Szmyd He/Him
James Jenkins He/Him","Izzet Lessons
Izzet Prowess",Jędrek Szmyd won 2-1-0
Round 9,82,"Edgar Baumler He/Him
Max Staas He/Him","Bant Rhythm
Dimir Excruciator",Max Staas won 2-0-0
Round 9,83,"Cristian Jimenez He/Him
Raynor Kuang He/Him","Four-Color Control
Boros Dragons",Cristian Jimenez won 2-0-0
Round 9,84,"Noah Bacine He/Him
André Santos","Jeskai Control
Selesnya Landfall",Noah Bacine won 2-1-0
Round 9,85,"pizzangry He/Him
Victor Simon Wilhelm Lumholtz He/Him","Izzet Prowess
Selesnya Ouroboroid",Victor Simon Wilhelm Lumholtz won 2-1-0
Round 9,86,"Juri Barkey He/Him
Elevenzees He/Him","Izzet Spellementals
Izzet Lessons",Elevenzees won 2-1-0
Round 9,87,"Christian Rothen He/Him
Stefan Kramm","Jeskai Control
Boros Dragons",Christian Rothen won 2-0-0
Round 9,88,"Douglas Penman He/Him
Callum Bousfield","Selesnya Ouroboroid
Izzet Prowess",Callum Bousfield won 2-1-0
Round 9,89,"gwendalvador He/Him
Stefanos Fotiadis","Selesnya Landfall
Izzet Prowess",gwendalvador won 2-1-0
Round 9,90,"Arwad He/Him
Neil Deacon He/Him","Dimir Midrange
Izzet Prowess",Neil Deacon won 2-1-0
Round 9,91,"Geko
Nick Rogiers He/Him","Izzet Aggro
Dimir Excruciator",Nick Rogiers won 2-0-0
Round 9,92,"Alvaro Fernandez Torres He/Him
Manuel Nowak He/Him","Izzet Prowess
Selesnya Rhythm",Alvaro Fernandez Torres won 2-1-0
Round 9,93,"Landstar He/They
Alex Winter","Selesnya Ouroboroid
Boros Mobilize",Landstar won 2-0-0
Round 9,94,"Charles Eliatamby He/Him
Félix Maurin He/Him","Bant Rhythm
Orzhov Momo",Charles Eliatamby won 2-1-0
Round 9,95,"Paul Farnsworth
KeesvanMontfoort","Dimir Excruciator
Izzet Prowess",KeesvanMontfoort won 2-0-0
Round 9,96,"Dafta He/Him
Olphod He/Him","Mono-Green Landfall
Mardu Discard",Olphod won 2-1-0
Round 9,97,"Geri925 He/Him
Jasper Nielsen He/Him","Selesnya Rhythm
Izzet Spellementals",Jasper Nielsen won 2-1-0
Round 9,98,"Alexander Maier He/Him
Russell Seeley He/Him","Izzet Lessons
Golgari Midrange",Alexander Maier won 2-0-0
Round 9,99,"HarryHollingworth He/They
Nikita Yurochko He/Him","Bant Rhythm
Dimir Midrange",HarryHollingworth won 2-1-0
Round 9,100,"Francesco Latorre He/Him
Gary Smith He/Him","Izzet Prowess
Jeskai Control",Francesco Latorre won 2-0-0
Round 9,101,"Skite He/They
Louis-Samuel Deltour","Selesnya Landfall
Izzet Prowess",Louis-Samuel Deltour won 2-1-0
Round 9,102,"Calum Gittins He/Him
Gonaclo Magalhães Diogo He/Him","Izzet Prowess
Izzet Prowess",Calum Gittins won 2-1-0
Round 9,103,"ViolentRich He/Him
Jonah Strommenger He/Him","Izzet Prowess
Izzet Prowess",Jonah Strommenger won 2-1-0
Round 9,104,"Alexey Paulot He/Him
Jacob1200 He/Him","Temur Lessons
Azorius Otters",Alexey Paulot won 2-1-0
Round 9,105,"Bradley Bunce He/Him
Alex Göbel He/Him","Azorius Prison
Dimir Midrange",Alex Göbel won 2-0-0
Round 9,106,"Jonatan Svendsen He/Him
CJ Vice He/Him","Selesnya Landfall
Esper Oculus",CJ Vice won 2-0-0
Round 9,107,"Xifan He/Him
Siamon He/Him","Izzet Prowess
Selesnya Ouroboroid",Xifan won 2-0-0
Round 9,108,"DanoClark
NilHomar","Four-Color Control
Golgari Midrange",NilHomar won 2-0-0
Round 9,109,"Mirand Shtërbani He/Him
Patrick Burchert He/Him","Four-Color Control
Azorius Prison",1-1-0 Draw
Round 9,110,"Soulblighter
Martin Forrester He/They","Selesnya Ouroboroid
Sultai Reanimator",Martin Forrester won 2-1-0
Round 9,111,"MY13Dragonfly They/Them
Jacopo Bartollini He/Him","Bant Rhythm
Azorius Prison",MY13Dragonfly won 2-1-0
Round 9,112,"Christian Mayr He/Him
oDwin He/Him","Four-Color Elementals
Orzhov Momo",Christian Mayr won 2-0-0
Round 9,113,"Carlos Pacheco He/Him
Andrew Fiedler He/Him","Four-Color Control
Dimir Excruciator",Andrew Fiedler won 2-0-0
Round 9,114,"spikesmaster He/Him
AndrewHM He/They","Selesnya Ouroboroid
Azorius Control",spikesmaster won 2-0-0
Round 9,115,"Andreas Foreman Jensen He/Him
Kamen Kamenov He/Him","Selesnya Ouroboroid
Four-Color Elementals",Kamen Kamenov won 2-0-0
Round 9,116,"Ozan Sevsevil He/Him
Pier Paolo Moro They/Them","Jeskai Control
Izzet Prowess",Pier Paolo Moro won 2-0-0
Round 9,117,"Stephanos Economides He/Him
RyanNorthcott He/Him","Dimir Excruciator
Boros Momo",RyanNorthcott won 2-0-0
Round 9,118,"Dan Stokes He/Him
Mehdi Khelfa He/Him","Four-Color Control
Izzet Prowess",Dan Stokes won 2-0-0
Round 9,119,"nartin9 He/Him
Picomtg","Izzet Prowess
Bant Rhythm",Picomtg won 2-1-0
Round 9,120,"Magnus Jørgensen He/Him
seany He/Him","Izzet Prowess
Izzet Lessons",seany won 2-0-0
Round 9,121,"gabriele tribulato Ze/zir
Mikki Klokkedal He/Him","Bant Rhythm
Selesnya Landfall",Mikki Klokkedal won 2-0-0
Round 9,122,"Justien Balay
Mihaly Varadi He/Him","Selesnya Ouroboroid
Azorius Prison",Mihaly Varadi won 2-1-0
Round 9,123,"Philippe Wirz He/Him
Kristoffer Roland He/Him","Azorius Prison
Gruul Leyline",Philippe Wirz won 2-1-0
Round 9,124,"Klaus_Mikaelson He/Him
Daniel Lind He/Him","Four-Color Control
Selesnya Landfall",Daniel Lind won 2-0-0
Round 9,125,"AnilDG He/Him
Jan Pruchniewicz He/Him","Azorius Prison
Simic Omniscience",Jan Pruchniewicz won 2-0-0
Round 9,126,"Cartheron Other
DomS17 He/Him","Mono-Black Demons
Izzet Prowess",Cartheron won 2-0-0
Round 9,127,"Philipp Schwaiger
Kevin Broløs He/Him","Abzan Bats
Izzet Prowess",Philipp Schwaiger won 2-1-0
Round 9,128,"Mclockin He/Him
Luke Merryweather He/Him","Selesnya Ouroboroid
Izzet Lessons",Luke Merryweather won 2-1-0
Round 9,129,"Cedric Gäde
Tien Thanh Pham He/Him","Azorius Prison
Azorius Prison",Tien Thanh Pham won 2-0-0
Round 9,130,"Tom8520 He/Him
Gargaroth He/Him","Bant Rhythm
Simic Ouroboroid",Tom8520 won 2-1-0
Round 9,131,"Josh Corless He/Him
Jacob Borrowdale He/Him","Izzet Spellementals
Izzet Prowess",Jacob Borrowdale won 2-0-0
Round 9,132,"Pedro Lemos He/Him
Tifenn Samyn She/Her","Selesnya Ouroboroid
Izzet Spellementals",Pedro Lemos won 2-1-0
Round 9,133,"Cantthinkofanything
Léo Thiémard He/Him","Mono-Green Landfall
Bant Rhythm",Léo Thiémard won 2-1-0
Round 9,134,"Lubos Leskovjansky He/They
Daniele Scatassi","Mono-White Momo
Izzet Prowess",Daniele Scatassi won 2-1-0
Round 9,135,"Ine Jernelv
Jake Swales He/They","Izzet Lessons
Izzet Lessons",Jake Swales won 2-0-0
Round 9,136,"EdGlease He/Him
MatteoLB He/Him","Izzet Spellementals
Four-Color Control",MatteoLB won 2-0-0
Round 9,137,"Andrea Piemonti He/Him
AdriaGarciaSarmiento He/Him","Izzet Lessons
Azorius Prison",AdriaGarciaSarmiento won 2-1-0
Round 9,138,"Duskfire He/Him
Branoc Richards He/Him","Selesnya Landfall
Izzet Prowess",Duskfire won 2-1-0
Round 9,139,"JoshuaPyleCarter Other
Thomas Chenery He/Him","Simic Omniscience
Izzet Spellementals",JoshuaPyleCarter won 2-0-0
Round 9,140,"Matt MT He/Him
Giulio Tommaso Gomitoni","Sultai Reanimator
Izzet Lessons",Giulio Tommaso Gomitoni won 2-1-0
Round 9,141,"Daniel Lewis He/Him
Daniel Bjerkan He/Him","Four-Color Control
Selesnya Landfall",Daniel Bjerkan won 2-1-0
Round 9,142,"Nuno Duarte
Bryant Yang He/Him","Dimir Deceit
Izzet Prowess",Nuno Duarte won 2-1-0
Round 9,143,"no_justice_mtg She/Her
Morgan Lebrument He/Him","Four-Color Control
Izzet Prowess",no_justice_mtg won 2-0-0
Round 9,144,"Robert Young He/Him
Tolga Sertbas","Golgari Ouroboroid
Mono-Red Aggro",Tolga Sertbas won 2-0-0
Round 9,145,"jamestimms He/They
AARB12 He/Him","Azorius Prison
Azorius Prison",AARB12 won 2-0-0
Round 9,146,"ShaC28
AdamPC He/Him","Mardu Gambit
Izzet Prowess",AdamPC won 1-0-0
Round 9,148,"Johnathan Wilkes He/Him
Kjetil Wevling He/Him","Golgari Demons
Izzet Spellementals",Johnathan Wilkes won 2-0-0
Round 9,149,"Jonny Gu He/Him
jjjimbo They/Them","Izzet Spellementals
Izzet Lessons",jjjimbo won 2-0-0
Round 9,150,"RomainAlexandre He/Him
Ghostfire17605 He/Him","Izzet Spellementals
Golgari Midrange",Ghostfire17605 won 2-0-0
Round 9,151,"Max Spencer He/Him
Adrien Beaussart He/Him","Golgari Changelings
Four-Color Elementals",Adrien Beaussart won 2-0-0
Round 9,152,"Emil Rasmussen He/Him
ALANBBBK He/Him","Selesnya Landfall
Sultai Changeling",Emil Rasmussen won 2-0-0
Round 9,153,"Shadybadger46 He/Him
darkblueturbo He/Him","Mono-Blue Control
Izzet Spellementals",Shadybadger46 won 2-0-0
Round 9,154,"djsuk She/Her
Freddie Barber He/Him","Orzhov Lifegain
Gruul Leyline",Freddie Barber won 2-1-0
Round 9,156,"Truls Mathisen He/Him
Inherentmac He/Him","Mono-Blue Spellementals
Grixis Discard",Truls Mathisen won 2-0-0
Round 9,157,"Thomas Walder
Julian Riedener He/Him","Mardu Artifacts
Bant Rhythm",Thomas Walder won 2-0-0
Round 9,158,"Stefano Belloni He/Him
Kewin Lozicki He/Him","Izzet Prowess
Azorius Momo",Kewin Lozicki won 2-0-0
Round 9,159,"StephenSodusta He/Him
WillKillsTime He/Him","Temur Ferocious
Izzet Prowess",WillKillsTime won 2-0-0
Round 9,160,"Olivier Geffroy He/Him
EtherealBlue She/Her","Izzet Prowess
Izzet Spellementals",Olivier Geffroy won 2-0-0
Round 9,161,"Gwen Wall She/Her
Emelia St John She/They","Azorius Prison
Izzet Spellementals",Gwen Wall won 2-0-0
Round 9,163,"Brian Rasmussen He/Him
Graveturner He/Him","Dimir Excruciator
Izzet Lessons",Graveturner won 2-1-0
Round 9,164,"Robin Clark She/Her
Mattia Colombo He/Him","Sultai Reanimator
Dimir Control",Mattia Colombo won 2-1-0
Round 9,165,"Cal91 He/Him
DarioCavallone","Dimir Deceit
Bant Rhythm",Cal91 won 2-0-0
Round 9,166,"Lilian Lescure He/Him
Seal100 He/Him","Dimir Excruciator
Dimir Bounce",Lilian Lescure won 2-0-0
Round 9,167,"Splitseven He/Him
Tomáš Krupička He/Him","Izzet Lessons
Selesnya Landfall",Tomáš Krupička won 2-0-0
Round 9,168,"JackNewell He/Him
Jonny 🐘 Edmondson He/Him","Boros Discard
Izzet Prowess",JackNewell won 2-0-0
Round 9,169,"Luka Fuchs
Chris Grenville He/Him","Mono-Blue Tempo
Izzet Prowess",Luka Fuchs won 2-0-0
Round 9,170,"alshay2020 He/Him
Jay_Flimmzky He/Him","Izzet Prowess
Dimir Mill",Jay_Flimmzky won 2-0-0
Round 9,171,"Xcunonophus He/They
Hans Ludvig Skovli He/Him","Azorius Artifacts
Izzet Prowess",Xcunonophus won 2-0-0
Round 9,172,"Michael Rutter He/Him
Vincent Pernel He/Him","Izzet Spellementals
Dimir Artifacts",Vincent Pernel won 2-0-0
Round 9,173,"rtsolo She/They
Fraser Dallachy He/Him","Mardu Mobilize
Abzan Cosmogoyf",Fraser Dallachy won 2-1-0
Round 9,174,"JJ Hidson He/Him
manyrollies","Mono-Green Chocobo
Izzet Spellementals",manyrollies won 2-1-0
Round 9,220,"Elia Libralato He/Him
EvanColly He/Him","Bant Rhythm
Izzet Prowess",EvanColly won 2-0-0
Round 9,221,"Enrico Libralato He/Him
Pawel Makles He/Him","Azorius Prison
Azorius Prison",Enrico Libralato won 2-0-0
Round 9,260,"Thraxi He/Him
jruxc","Mono-Green Landfall
Dimir Excruciator",Thraxi won 2-0-0
Round 10,-,KeesvanMontfoort,Izzet Prowess,KeesvanMontfoort was assigned a bye
Round 10,1,"StannersPOTUS
Maxime Desiront He/Him","Mardu Discard
Sultai Reanimator",Maxime Desiront won 2-0-0
Round 10,2,"Nathan Goldberg He/Him
Koen de Vos","Selesnya Rhythm
Azorius Momo",Nathan Goldberg won 2-1-0
Round 10,3,"Bilbo_Baggins
Enchanted He/Him","Izzet Prowess
Temur Omniscience",Enchanted won 2-0-0
Round 10,4,"AlexMacIsaac He/Him
Tommi Erola He/Him","Izzet Prowess
Mono-Green Landfall",AlexMacIsaac won 2-1-0
Round 10,5,"Jamie Walsh He/Him
Brad Barclay He/Him","Four-Color Control
Four-Color Control",Brad Barclay won 2-0-0
Round 10,6,"Stanislau Zubovich He/Him
Yann-Guillaume Jaccard He/Him","Izzet Prowess
Allies",Yann-Guillaume Jaccard won 2-0-0
Round 10,7,"EricNewton He/Him
TomaszDudziec He/Him","Jeskai Control
Izzet Prowess",1-1-1 Draw
Round 10,8,"Marian Bunganic He/Him
Rodney Bedell","Izzet Lessons
Selesnya Landfall",Marian Bunganic won 2-1-0
Round 10,9,"Piotr Głogowski He/Him
Kim Homsma He/Him","Izzet Lessons
Selesnya Landfall",Piotr Głogowski won 2-0-0
Round 10,10,"Louis-Samuel Deltour
Dan Rose","Izzet Prowess
Izzet Lessons",Dan Rose won 2-1-0
Round 10,11,"ucoconut871 Other
fabse He/Him","Izzet Prowess
Izzet Prowess",fabse won 2-0-0
Round 10,12,"alexwalton64 He/Him
Marco Capitanio","Izzet Spellementals
Izzet Lessons",Marco Capitanio won 2-0-0
Round 10,13,"Charles Rivet He/Him
woebringer He/Him","Izzet Prowess
Izzet Prowess",Charles Rivet won 2-1-0
Round 10,14,"Fabian Klein
Léo Guimard He/Him","Dimir Excruciator
Selesnya Landfall",Léo Guimard won 2-1-0
Round 10,15,"Vincent Reiter He/Him
HoneycombH She/Her","Izzet Prowess
Selesnya Landfall",HoneycombH won 2-0-0
Round 10,16,"DarkDeno
Will Berrington He/Him","Selesnya Landfall
Mono-Green Landfall",Will Berrington won 2-1-0
Round 10,17,"Alvaro Nicosia He/Him
Nathan McDowell He/Him","Izzet Prowess
Izzet Prowess",Nathan McDowell won 2-1-0
Round 10,18,"Titouan LE BERRE He/Him
Yanatoy","Izzet Prowess
Izzet Opus",Yanatoy won 2-1-0
Round 10,19,"Ondrej Strasky He/Him
Stefano Spurio He/Him","Izzet Lessons
Four-Color Elementals",Stefano Spurio won 2-1-0
Round 10,20,"Franco Cicchini He/Him
Sean Goddard He/Him","Izzet Prowess
Selesnya Ouroboroid",Franco Cicchini won 2-1-0
Round 10,21,"Callum Laird He/Him
George Berrett He/Him","Izzet Prowess
Dimir Excruciator",Callum Laird won 2-1-0
Round 10,22,"Idris Killen He/Him
Theodor eliassen He/Him","Izzet Lessons
Izzet Lessons",Idris Killen won 2-1-0
Round 10,23,"Louis Wilder He/Him
Daniele Vinciguerra He/Him","Izzet Prowess
Dimir Excruciator",Louis Wilder won 2-0-0
Round 10,24,"TheRiedl He/Him
Gerardo D'Elia He/Him","Izzet Lessons
Jeskai Control",Gerardo D'Elia won 2-1-0
Round 10,25,"Juan Godoy He/Him
felipins He/Him","Four-Color Elementals
Dimir Excruciator",Juan Godoy won 2-1-0
Round 10,26,"tip He/Him
Etienne Foare He/Him","Selesnya Ouroboroid
Izzet Lessons",tip won 2-0-0
Round 10,27,"Zaraffyro
Lucca LiPuma","Izzet Prowess
Izzet Prowess",Lucca LiPuma won 2-0-0
Round 10,28,"EricZhou He/Him
Pirrakos He/Him","Izzet Prowess
Dimir Excruciator",EricZhou won 2-1-0
Round 10,29,"ClaudioBisioo
Lewis Foster He/Him","Four-Color Control
Selesnya Landfall",ClaudioBisioo won 2-1-0
Round 10,30,"Marcio Carvalho
Christian Kerr He/Him","Selesnya Landfall
Selesnya Landfall",Christian Kerr won 2-1-0
Round 10,31,"Nick Rogiers He/Him
Pär Jones He/Him","Dimir Excruciator
Golgari Midrange",Nick Rogiers won 2-1-0
Round 10,32,"Josef Zivec He/Him
Ben Jones","Bant Rhythm
Izzet Lessons",Ben Jones won 2-1-0
Round 10,33,"GliedTamas He/Him
Max Staas He/Him","Sultai Control
Dimir Excruciator",GliedTamas won 2-0-0
Round 10,34,"Alexey Paulot He/Him
Calum Gittins He/Him","Temur Lessons
Izzet Prowess",Alexey Paulot won 2-0-0
Round 10,35,"Alexander Maier He/Him
T0bb3 He/Him","Izzet Lessons
Izzet Prowess",T0bb3 won 2-0-0
Round 10,36,"Rookiemookie He/Him
Mae French She/Her","Jeskai Control
Izzet Lessons",Rookiemookie won 2-0-0
Round 10,37,"Michael Baalham
Masaya_Hoshino He/Him","Selesnya Landfall
Izzet Prowess",Masaya_Hoshino won 2-1-0
Round 10,38,"Jack Young He/Him
James Ball He/Him","Izzet Spellementals
Izzet Prowess",Jack Young won 2-0-0
Round 10,39,"Andrei Nikolov
gwendalvador He/Him","Izzet Prowess
Selesnya Landfall",gwendalvador won 2-0-0
Round 10,40,"Skite He/They
Maciej Barwik He/Him","Selesnya Landfall
Izzet Prowess",Maciej Barwik won 2-1-0
Round 10,41,"Jędrek Szmyd He/Him
Filipe Gusmão He/Him","Izzet Lessons
Golgari Demons",Jędrek Szmyd won 2-0-0
Round 10,42,"Kieran Malloy He/Him
oldemodave He/Him","Izzet Prowess
Dimir Deceit",Kieran Malloy won 2-1-0
Round 10,43,"Callum Bousfield
RobinVahland He/Him","Izzet Prowess
Songcrafter Control",Callum Bousfield won 2-0-0
Round 10,44,"Noah Bacine He/Him
Ethanv83 He/Him","Jeskai Control
Selesnya Landfall",Noah Bacine won 2-1-0
Round 10,45,"HarryHollingworth He/They
Andreas Nordahl","Bant Rhythm
Izzet Lessons",Andreas Nordahl won 2-1-0
Round 10,46,"Victor Simon Wilhelm Lumholtz He/Him
Julian Lamprecht He/Him","Selesnya Ouroboroid
Selesnya Landfall",Victor Simon Wilhelm Lumholtz won 2-1-0
Round 10,47,"Filip Tetera He/Him
Tobia Daniele Nappi He/Him","Bant Rhythm
Four-Color Control",Tobia Daniele Nappi won 2-0-0
Round 10,48,"Matthieu Tassa He/Him
Patrickleydecker He/Him","Izzet Prowess
Izzet Spellementals",Matthieu Tassa won 2-1-0
Round 10,49,"George Worsnop He/Him
DanS106 He/Him","Izzet Prowess
Izzet Spellementals",George Worsnop won 2-0-0
Round 10,50,"Francesco Latorre He/Him
Valentin Orru He/Him","Izzet Prowess
Izzet Prowess",Valentin Orru won 2-1-0
Round 10,51,"Sören Liesener He/Him
Alex Campbell","Selesnya Ouroboroid
Jeskai Control",Alex Campbell won 2-0-0
Round 10,52,"milesofford He/Him
Dotraki","Sultai Reanimator
Izzet Prowess",Dotraki won 2-0-0
Round 10,53,"Lucas Hyttel He/Him
Draysor He/Him","Mono-Green Landfall
Selesnya Landfall",Draysor won 2-0-0
Round 10,54,"Narzyss
Cristian Jimenez He/Him","Azorius Prison
Four-Color Control",Narzyss won 2-1-0
Round 10,55,"Dylan Gregory-Martin He/They
Verena Maccari She/Her","Izzet Spellementals
Izzet Prowess",Verena Maccari won 2-1-0
Round 10,56,"Christian Rothen He/Him
Marco Oliveto He/Him","Jeskai Control
Golgari Rhythm",Christian Rothen won 2-0-0
Round 10,57,"Petr96 He/Him
Neil Deacon He/Him","Four-Color Control
Izzet Prowess",Neil Deacon won 2-0-0
Round 10,58,"Lena Marchant She/Her
Jonah Strommenger He/Him","Izzet Lessons
Izzet Prowess",Jonah Strommenger won 2-0-0
Round 10,59,"ZakP He/Him
Landstar He/They","Mono-Green Landfall
Selesnya Ouroboroid",Landstar won 2-0-0
Round 10,60,"Olphod He/Him
Charles Eliatamby He/Him","Mardu Discard
Bant Rhythm",Charles Eliatamby won 2-0-0
Round 10,61,"Unkillable13 He/Him
Craig Tanner He/Him","Izzet Prowess
Izzet Prowess",Unkillable13 won 2-1-0
Round 10,62,"Oscar Christensen He/Him
Giulio Tommaso Gomitoni","Selesnya Ouroboroid
Izzet Lessons",Oscar Christensen won 2-1-0
Round 10,63,"MikeRoss He/They
Leonardo Canalejo He/Him","Izzet Lessons
Boros Dragons",Leonardo Canalejo won 2-0-0
Round 10,64,"Jari Rentsch He/Him
Marco Vay He/Him","Izzet Prowess
Dimir Excruciator",Jari Rentsch won 2-1-0
Round 10,65,"MangoMango She/Her
GiuseppeG He/Him","Jeskai Control
Selesnya Landfall",MangoMango won 2-1-0
Round 10,66,"swxgv He/Him
Tudor Marin He/Him","Izzet Prowess
Selesnya Ouroboroid",Tudor Marin won 2-0-0
Round 10,67,"Tim Priwe He/Him
Martin Ramos He/Him","Izzet Prowess
Mono-White Momo",Martin Ramos won 2-0-0
Round 10,68,"Jonas_Erbe
Elevenzees He/Him","Simic Rhythm
Izzet Lessons",Jonas_Erbe won 2-1-0
Round 10,69,"George Stuart He/Him
Orry He/Him","Izzet Spellementals
Izzet Spellementals",George Stuart won 2-1-0
Round 10,70,"Viktor Hybinette He/Him
Alvaro Fernandez Torres He/Him","Golgari Demons
Izzet Prowess",Viktor Hybinette won 2-1-0
Round 10,71,"Francesco Alacca He/Him
Alexander Stehno","Izzet Lessons
Jeskai Control",Francesco Alacca won 2-1-0
Round 11,-,James Ball He/Him,Izzet Prowess,James Ball was assigned a bye
Round 11,1,"Maxime Desiront He/Him
Nathan Goldberg He/Him","Sultai Reanimator
Selesnya Rhythm",Nathan Goldberg won 2-1-0
Round 11,2,"Enchanted He/Him
AlexMacIsaac He/Him","Temur Omniscience
Izzet Prowess",Enchanted won 2-1-0
